date,city,pm25_avg,pm25_max,pm25_min,pm10_avg,pm10_max,pm10_min,aqi
2026-09-11,Delhi,138.0,138.0,138.0,48.0,49.0,46.0,138.0
2026-09-12,Delhi,133.0,171.0,89.0,49.0,70.0,28.0,133.0
2026-09-13,Delhi,141.0,157.0,89.0,49.0,57.0,28.0,82.0
2026-09-14,Delhi,139.0,157.0,138.0,46.0,58.0,46.0,139.0
2026-09-15,Delhi,126.0,151.0,89.0,42.0,51.0,28.0,126.0
2026-09-16,Delhi,153.0,162.0,138.0,59.0,62.0,46.0,153.0
2026-09-17,Delhi,149.0,162.0,138.0,63.0,73.0,53.0,149.0
2026-09-18,Delhi,149.0,165.0,138.0,72.0,83.0,59.0,149.0
2026-09-19,Delhi,169.0,174.0,138.0,116.0,123.0,73.0,169.0
2025-03-02,Mumbai,142.0,152.0,138.0,65.0,73.0,58.0,142.0
2025-03-03,Mumbai,131.0,138.0,89.0,55.0,67.0,46.0,131.0
2025-03-04,Mumbai,138.0,138.0,138.0,62.0,73.0,58.0,138.0
2025-03-05,Mumbai,121.0,138.0,89.0,53.0,62.0,46.0,121.0
2025-03-06,Mumbai,112.0,138.0,81.0,48.0,58.0,46.0,112.0
2025-03-07,Mumbai,141.0,155.0,138.0,64.0,73.0,54.0,141.0
2025-03-08,Mumbai,141.0,159.0,138.0,86.0,123.0,73.0,141.0
2025-03-09,Mumbai,147.0,159.0,138.0,71.0,73.0,65.0,147.0
2025-03-10,Mumbai,155.0,159.0,138.0,73.0,73.0,65.0,155.0
2026-09-11,Beijing,,,,33.0,46.0,10.0,
2026-09-12,Beijing,119.0,151.0,87.0,41.0,58.0,28.0,119.0
2026-09-13,Beijing,87.0,138.0,21.0,41.0,82.0,7.0,102.0
2026-09-14,Beijing,65.0,80.0,30.0,27.0,39.0,18.0,65.0
2026-09-15,Beijing,115.0,151.0,74.0,42.0,46.0,22.0,115.0
2026-09-16,Beijing,134.0,158.0,103.0,51.0,58.0,40.0,134.0
2026-09-17,Beijing,120.0,158.0,68.0,46.0,58.0,28.0,120.0
2026-09-18,Beijing,131.0,159.0,89.0,53.0,58.0,45.0,131.0
2026-09-19,Beijing,134.0,138.0,116.0,,,,134.0
2026-09-12,Shanghai,130.0,177.0,69.0,50.0,76.0,26.0,130.0
2026-09-13,Shanghai,139.0,177.0,92.0,58.0,76.0,46.0,50.0
2026-09-14,Shanghai,128.0,177.0,68.0,50.0,76.0,28.0,128.0
2026-09-15,Shanghai,132.0,174.0,42.0,65.0,112.0,19.0,132.0
2026-09-16,Shanghai,149.0,177.0,69.0,60.0,76.0,26.0,149.0
2026-09-17,Shanghai,151.0,177.0,87.0,61.0,76.0,26.0,151.0
2026-09-18,Shanghai,147.0,160.0,68.0,53.0,59.0,28.0,147.0
2026-09-19,Shanghai,131.0,160.0,69.0,53.0,70.0,29.0,131.0
2026-09-10,Moscow,70.0,80.0,60.0,33.0,45.0,23.0,70.0
2026-09-11,Moscow,28.0,58.0,14.0,11.0,24.0,7.0,28.0
2026-09-12,Moscow,29.0,46.0,15.0,11.0,15.0,7.0,29.0
2026-09-13,Moscow,53.0,66.0,20.0,20.0,24.0,9.0,38.0
2026-09-14,Moscow,103.0,156.0,36.0,49.0,69.0,17.0,103.0
2026-09-15,Moscow,107.0,158.0,38.0,49.0,70.0,17.0,107.0
2026-09-16,Moscow,88.0,163.0,32.0,41.0,82.0,14.0,88.0
2026-09-17,Moscow,167.0,169.0,145.0,86.0,87.0,58.0,167.0
2026-09-10,Sao Paulo,31.0,31.0,31.0,13.0,13.0,13.0,31.0
2026-09-11,Sao Paulo,38.0,70.0,16.0,21.0,37.0,10.0,38.0
2026-09-12,Sao Paulo,44.0,80.0,23.0,18.0,29.0,13.0,44.0
2026-09-13,Sao Paulo,24.0,38.0,19.0,14.0,19.0,12.0,21.0
2026-09-14,Sao Paulo,54.0,68.0,23.0,35.0,44.0,12.0,54.0
2026-09-15,Sao Paulo,98.0,155.0,53.0,72.0,101.0,36.0,98.0
2026-09-16,Sao Paulo,66.0,117.0,44.0,46.0,75.0,27.0,66.0
2026-09-17,Sao Paulo,39.0,45.0,32.0,25.0,28.0,21.0,39.0
2025-03-02,Cairo,55.0,75.0,27.0,41.0,58.0,13.0,55.0
2025-03-03,Cairo,65.0,96.0,37.0,41.0,66.0,17.0,65.0
2025-03-04,Cairo,33.0,55.0,10.0,14.0,23.0,5.0,33.0
2025-03-05,Cairo,43.0,72.0,9.0,17.0,29.0,4.0,43.0
2025-03-06,Cairo,106.0,148.0,54.0,66.0,100.0,23.0,106.0
2025-03-07,Cairo,85.0,105.0,51.0,44.0,54.0,21.0,85.0
2025-03-08,Cairo,104.0,146.0,61.0,53.0,66.0,27.0,104.0
2025-03-09,Cairo,72.0,72.0,70.0,33.0,35.0,32.0,72.0
2026-09-11,Johannesburg,146.0,181.0,95.0,90.0,129.0,50.0,146.0
2026-09-12,Johannesburg,125.0,179.0,105.0,65.0,121.0,53.0,125.0
2026-09-13,Johannesburg,111.0,131.0,92.0,66.0,84.0,45.0,67.0
2026-09-14,Johannesburg,55.0,122.0,42.0,29.0,77.0,22.0,55.0
2026-09-15,Johannesburg,43.0,60.0,21.0,28.0,48.0,13.0,43.0
2026-09-16,Johannesburg,89.0,152.0,63.0,63.0,79.0,36.0,89.0
2026-09-17,Johannesburg,50.0,104.0,34.0,29.0,74.0,18.0,50.0
2026-09-18,Johannesburg,30.0,32.0,24.0,18.0,18.0,13.0,30.0
